time,joint1_position,joint2_position,joint3_position,joint4_position,joint5_position,joint6_position,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,joint5_velocity,joint6_velocity
0.0000,-0.0063,-0.0000,0.0000,0.0505,-0.0063,-0.0063,-0.0279,-0.0000,0.0000,-0.0284,-0.0296,-0.0279
0.5000,-0.0222,-0.0000,0.0000,0.0344,-0.0223,-0.0222,-0.0295,-0.0000,0.0000,-0.0298,-0.0296,-0.0293
1.4700,-0.0117,-0.0000,0.0000,0.0451,-0.0118,-0.0115,0.0746,-0.0000,-0.0000,0.0756,0.0749,0.0748
1.9700,0.0632,0.0551,-0.0013,0.0968,0.0624,0.0635,0.2353,0.2441,-0.0621,0.1874,0.2308,0.2351
2.4700,0.2072,0.2008,-0.1340,0.1445,0.2041,0.2073,0.3216,0.3276,-0.3219,0.0989,0.3153,0.3211
2.9700,0.3660,0.3651,-0.2930,0.1938,0.3592,0.3659,0.2951,0.3099,-0.2953,0.0984,0.2871,0.2946
3.4700,0.4834,0.4905,-0.4105,0.2430,0.4729,0.4831,0.1562,0.1710,-0.1562,0.0985,0.1494,0.1557
3.9700,0.4423,0.5537,-0.4841,0.2253,0.4332,0.4409,-0.3879,0.1284,-0.2095,-0.2507,-0.3729,-0.3867
4.4700,0.1481,0.6240,-0.6131,0.0250,0.1476,0.1476,-0.7256,0.1517,-0.2946,-0.5096,-0.7161,-0.7236
4.9700,-0.2208,0.7041,-0.7667,-0.2420,-0.2257,-0.2203,-0.6872,0.1684,-0.3070,-0.5133,-0.7132,-0.6855
5.4700,-0.4763,0.7944,-0.9063,-0.4404,-0.4955,-0.4752,-0.2735,0.1967,-0.2373,-0.2313,-0.2942,-0.2723
5.9700,-0.4807,0.8056,-0.8950,-0.4402,-0.4983,-0.4800,0.1893,-0.2895,0.3817,0.1996,0.2040,0.1884
6.4700,-0.3273,0.5475,-0.5863,-0.2796,-0.3351,-0.3270,0.3862,-0.6669,0.7783,0.4035,0.4068,0.3855
6.9700,-0.1317,0.2123,-0.1918,-0.0762,-0.1322,-0.1319,0.3587,-0.6060,0.7240,0.3706,0.3656,0.3576
7.4800,-0.0053,0.0010,0.0000,0.0549,-0.0050,-0.0060,0.0991,-0.1618,-0.0000,0.0371,0.1129,0.0974
